nSeq,I1,I2,O1,O2,A1
9,0,0,0,0,476
10,0,0,0,0,507
11,0,0,0,0,475
12,0,0,0,0,500
13,0,0,0,0,490
14,0,0,0,0,517
15,0,0,0,0,559
0,0,0,0,0,510
1,0,0,0,0,508
2,0,0,0,0,499
3,0,0,0,0,499
4,0,0,0,0,502
5,0,0,0,0,487
6,0,0,0,0,515
7,0,0,0,0,491
8,0,0,0,0,488
9,0,0,0,0,496
10,0,0,0,0,521
11,0,0,0,0,506
12,0,0,0,0,515
13,0,0,0,0,491
14,0,0,0,0,500
15,0,0,0,0,514
0,0,0,0,0,508
1,0,0,0,0,491
2,0,0,0,0,454
3,0,0,0,0,481
4,0,0,0,0,489
5,0,0,0,0,495
6,0,0,0,0,541
7,0,0,0,0,484
8,0,0,0,0,505
9,0,0,0,0,499
10,0,0,0,0,540
11,0,0,0,0,488
12,0,0,0,0,511
13,0,0,0,0,491
14,0,0,0,0,522
15,0,0,0,0,492
0,0,0,0,0,513
1,0,0,0,0,514
2,0,0,0,0,536
3,0,0,0,0,479
4,0,0,0,0,522
5,0,0,0,0,509
6,0,0,0,0,499
7,0,0,0,0,488
8,0,0,0,0,539
9,0,0,0,0,491
10,0,0,0,0,511
11,0,0,0,0,497
12,0,0,0,0,516
13,0,0,0,0,495
14,0,0,0,0,505
15,0,0,0,0,510
0,0,0,0,0,578
1,0,0,0,0,486
2,0,0,0,0,515
3,0,0,0,0,504
4,0,0,0,0,502
5,0,0,0,0,491
6,0,0,0,0,511
7,0,0,0,0,501
8,0,0,0,0,498
9,0,0,0,0,513
10,0,0,0,0,478
11,0,0,0,0,470
12,0,0,0,0,501
13,0,0,0,0,498
14,0,0,0,0,504
15,0,0,0,0,501
0,0,0,0,0,496
1,0,0,0,0,543
2,0,0,0,0,511
3,0,0,0,0,497
4,0,0,0,0,528
5,0,0,0,0,512
6,0,0,0,0,550
7,0,0,0,0,451
8,0,0,0,0,487
9,0,0,0,0,507
10,0,0,0,0,581
11,0,0,0,0,508
12,0,0,0,0,542
13,0,0,0,0,475
14,0,0,0,0,458
15,0,0,0,0,543
0,0,0,0,0,574
1,0,0,0,0,525
2,0,0,0,0,528
3,0,0,0,0,368
4,0,0,0,0,540
5,0,0,0,0,530
6,0,0,0,0,552
7,0,0,0,0,534
8,0,0,0,0,505
9,0,0,0,0,504
10,0,0,0,0,471
11,0,0,0,0,511
12,0,0,0,0,503
13,0,0,0,0,519
14,0,0,0,0,506
15,0,0,0,0,509
0,0,0,0,0,503
1,0,0,0,0,501
2,0,0,0,0,505
3,0,0,0,0,493
4,0,0,0,0,504
5,0,0,0,0,507
6,0,0,0,0,470
7,0,0,0,0,568
8,0,0,0,0,443
9,0,0,0,0,575
10,0,0,0,0,490
11,0,0,0,0,510
12,0,0,0,0,511
13,0,0,0,0,469
14,0,0,0,0,517
15,0,0,0,0,458
0,0,0,0,0,585
1,0,0,0,0,380
2,0,0,0,0,513
3,0,0,0,0,503
4,0,0,0,0,504
5,0,0,0,0,481
6,0,0,0,0,490
7,0,0,0,0,479
8,0,0,0,0,495
9,0,0,0,0,465
10,0,0,0,0,542
11,0,0,0,0,519
12,0,0,0,0,465
13,0,0,0,0,494
14,0,0,0,0,497
15,0,0,0,0,517
0,0,0,0,0,500
1,0,0,0,0,437
2,0,0,0,0,471
3,0,0,0,0,477
4,0,0,0,0,508
5,0,0,0,0,462
6,0,0,0,0,503
7,0,0,0,0,501
8,0,0,0,0,511
9,0,0,0,0,457
10,0,0,0,0,503
11,0,0,0,0,507
12,0,0,0,0,504
13,0,0,0,0,510
14,0,0,0,0,509
15,0,0,0,0,485
0,0,0,0,0,519
1,0,0,0,0,503
2,0,0,0,0,524
3,0,0,0,0,520
4,0,0,0,0,513
5,0,0,0,0,503
6,0,0,0,0,504
7,0,0,0,0,504
8,0,0,0,0,506
9,0,0,0,0,496
10,0,0,0,0,524
11,0,0,0,0,462
12,0,0,0,0,516
13,0,0,0,0,500
14,0,0,0,0,527
15,0,0,0,0,496
0,0,0,0,0,508
1,0,0,0,0,502
2,0,0,0,0,497
3,0,0,0,0,515
4,0,0,0,0,502
5,0,0,0,0,536
6,0,0,0,0,522
7,0,0,0,0,504
8,0,0,0,0,496
9,0,0,0,0,500
10,0,0,0,0,512
11,0,0,0,0,502
12,0,0,0,0,502
13,0,0,0,0,490
14,0,0,0,0,552
15,0,0,0,0,511
0,0,0,0,0,504
1,0,0,0,0,507
2,0,0,0,0,530
3,0,0,0,0,502
4,0,0,0,0,505
5,0,0,0,0,493
6,0,0,0,0,518
7,0,0,0,0,495
8,0,0,0,0,515
9,0,0,0,0,497
10,0,0,0,0,528
11,0,0,0,0,487
12,0,0,0,0,515
13,0,0,0,0,530
14,0,0,0,0,482
15,0,0,0,0,507
0,0,0,0,0,496
1,0,0,0,0,494
2,0,0,0,0,518
3,0,0,0,0,542
4,0,0,0,0,499
5,0,0,0,0,499
6,0,0,0,0,544
7,0,0,0,0,476
8,0,0,0,0,494
9,0,0,0,0,505
10,0,0,0,0,511
11,0,0,0,0,486
12,0,0,0,0,505
13,0,0,0,0,510
14,0,0,0,0,521
15,0,0,0,0,494
0,0,0,0,0,529
1,0,0,0,0,501
2,0,0,0,0,510
3,0,0,0,0,515
4,0,0,0,0,482
5,0,0,0,0,506
6,0,0,0,0,505
7,0,0,0,0,479
8,0,0,0,0,524
9,0,0,0,0,508
10,0,0,0,0,503
11,0,0,0,0,502
12,0,0,0,0,497
13,0,0,0,0,527
14,0,0,0,0,464
15,0,0,0,0,479
0,0,0,0,0,531
1,0,0,0,0,543
2,0,0,0,0,494
3,0,0,0,0,489
4,0,0,0,0,514
5,0,0,0,0,501
6,0,0,0,0,503
7,0,0,0,0,514
8,0,0,0,0,507
9,0,0,0,0,578
10,0,0,0,0,479
11,0,0,0,0,457
12,0,0,0,0,573
13,0,0,0,0,492
14,0,0,0,0,512
15,0,0,0,0,497
0,0,0,0,0,501
1,0,0,0,0,521
2,0,0,0,0,495
3,0,0,0,0,497
4,0,0,0,0,475
5,0,0,0,0,507
6,0,0,0,0,507
7,0,0,0,0,520
8,0,0,0,0,526
9,0,0,0,0,552
10,0,0,0,0,497
11,0,0,0,0,490
12,0,0,0,0,483
13,0,0,0,0,475
14,0,0,0,0,491
15,0,0,0,0,553
0,0,0,0,0,528
1,0,0,0,0,481
2,0,0,0,0,488
3,0,0,0,0,504
4,0,0,0,0,508
5,0,0,0,0,523
6,0,0,0,0,502
7,0,0,0,0,526
8,0,0,0,0,495
9,0,0,0,0,496
10,0,0,0,0,473
11,0,0,0,0,551
12,0,0,0,0,519
13,0,0,0,0,504
14,0,0,0,0,495
15,0,0,0,0,518
0,0,0,0,0,527
1,0,0,0,0,505
2,0,0,0,0,525
3,0,0,0,0,475
4,0,0,0,0,545
5,0,0,0,0,535
6,0,0,0,0,491
7,0,0,0,0,462
8,0,0,0,0,465
9,0,0,0,0,497
10,0,0,0,0,506
11,0,0,0,0,506
12,0,0,0,0,511
13,0,0,0,0,519
14,0,0,0,0,515
15,0,0,0,0,497
0,0,0,0,0,492
1,0,0,0,0,502
2,0,0,0,0,527
3,0,0,0,0,495
4,0,0,0,0,593
5,0,0,0,0,496
6,0,0,0,0,482
7,0,0,0,0,514
8,0,0,0,0,507
9,0,0,0,0,496
10,0,0,0,0,508
11,0,0,0,0,503
12,0,0,0,0,491
13,0,0,0,0,459
14,0,0,0,0,523
15,0,0,0,0,472
0,0,0,0,0,524
1,0,0,0,0,504
2,0,0,0,0,506
3,0,0,0,0,510
4,0,0,0,0,505
5,0,0,0,0,505
6,0,0,0,0,505
7,0,0,0,0,514
8,0,0,0,0,517
9,0,0,0,0,515
10,0,0,0,0,515
11,0,0,0,0,493
12,0,0,0,0,496
13,0,0,0,0,493
14,0,0,0,0,495
15,0,0,0,0,510
0,0,0,0,0,504
1,0,0,0,0,475
2,0,0,0,0,513
3,0,0,0,0,485
4,0,0,0,0,511
5,0,0,0,0,506
6,0,0,0,0,503
7,0,0,0,0,509
8,0,0,0,0,501
9,0,0,0,0,496
10,0,0,0,0,488
11,0,0,0,0,535
12,0,0,0,0,495
13,0,0,0,0,523
14,0,0,0,0,495
15,0,0,0,0,501
0,0,0,0,0,511
1,0,0,0,0,508
2,0,0,0,0,499
3,0,0,0,0,493
4,0,0,0,0,508
5,0,0,0,0,526
6,0,0,0,0,483
7,0,0,0,0,502
8,0,0,0,0,514
9,0,0,0,0,508
10,0,0,0,0,507
11,0,0,0,0,502
12,0,0,0,0,510
13,0,0,0,0,502
14,0,0,0,0,482
15,0,0,0,0,505
0,0,0,0,0,504
1,0,0,0,0,503
2,0,0,0,0,505
3,0,0,0,0,486
4,0,0,0,0,496
5,0,0,0,0,511
6,0,0,0,0,497
7,0,0,0,0,499
8,0,0,0,0,482
9,0,0,0,0,494
10,0,0,0,0,510
11,0,0,0,0,494
12,0,0,0,0,529
13,0,0,0,0,505
14,0,0,0,0,488
15,0,0,0,0,477
0,0,0,0,0,513
1,0,0,0,0,470
2,0,0,0,0,532
3,0,0,0,0,516
4,0,0,0,0,503
5,0,0,0,0,498
6,0,0,0,0,504
7,0,0,0,0,502
8,0,0,0,0,511
9,0,0,0,0,495
10,0,0,0,0,500
11,0,0,0,0,471
12,0,0,0,0,495
13,0,0,0,0,514
14,0,0,0,0,491
15,0,0,0,0,508
0,0,0,0,0,505
1,0,0,0,0,495
2,0,0,0,0,506
3,0,0,0,0,502
4,0,0,0,0,521
5,0,0,0,0,531
6,0,0,0,0,480
7,0,0,0,0,507
8,0,0,0,0,507
9,0,0,0,0,505
10,0,0,0,0,506
11,0,0,0,0,496
12,0,0,0,0,503
13,0,0,0,0,491
14,0,0,0,0,559
15,0,0,0,0,452
0,0,0,0,0,497
1,0,0,0,0,580
2,0,0,0,0,501
3,0,0,0,0,545
4,0,0,0,0,503
5,0,0,0,0,458
6,0,0,0,0,494
7,0,0,0,0,492
8,0,0,0,0,494
9,0,0,0,0,490
10,0,0,0,0,471
11,0,0,0,0,531
12,0,0,0,0,521
13,0,0,0,0,499
14,0,0,0,0,502
15,0,0,0,0,519
0,0,0,0,0,521
1,0,0,0,0,586
2,0,0,0,0,457
3,0,0,0,0,524
4,0,0,0,0,495
5,0,0,0,0,557
6,0,0,0,0,512
7,0,0,0,0,495
8,0,0,0,0,491
9,0,0,0,0,499
10,0,0,0,0,504
11,0,0,0,0,499
12,0,0,0,0,479
13,0,0,0,0,449
14,0,0,0,0,495
15,0,0,0,0,506
0,0,0,0,0,512
1,0,0,0,0,517
2,0,0,0,0,497
3,0,0,0,0,492
4,0,0,0,0,508
5,0,0,0,0,511
6,0,0,0,0,490
7,0,0,0,0,503
8,0,0,0,0,508
