nSeq,I1,I2,O1,O2,A2
11,0,0,0,0,515
12,0,0,0,0,516
13,0,0,0,0,515
14,0,0,0,0,512
15,0,0,0,0,517
0,0,0,0,0,514
1,0,0,0,0,507
2,0,0,0,0,504
3,0,0,0,0,507
4,0,0,0,0,508
5,0,0,0,0,507
6,0,0,0,0,512
7,0,0,0,0,512
8,0,0,0,0,513
9,0,0,0,0,512
10,0,0,0,0,512
11,0,0,0,0,515
12,0,0,0,0,533
13,0,0,0,0,550
14,0,0,0,0,507
15,0,0,0,0,405
0,0,0,0,0,387
1,0,0,0,0,540
2,0,0,0,0,591
3,0,0,0,0,562
4,0,0,0,0,536
5,0,0,0,0,528
6,0,0,0,0,520
7,0,0,0,0,514
8,0,0,0,0,512
9,0,0,0,0,513
10,0,0,0,0,511
11,0,0,0,0,511
12,0,0,0,0,508
13,0,0,0,0,508
14,0,0,0,0,509
15,0,0,0,0,508
0,0,0,0,0,507
1,0,0,0,0,507
2,0,0,0,0,508
3,0,0,0,0,508
4,0,0,0,0,508
5,0,0,0,0,507
6,0,0,0,0,506
7,0,0,0,0,504
8,0,0,0,0,504
9,0,0,0,0,507
10,0,0,0,0,507
11,0,0,0,0,508
12,0,0,0,0,511
13,0,0,0,0,515
14,0,0,0,0,518
15,0,0,0,0,521
0,0,0,0,0,523
1,0,0,0,0,522
2,0,0,0,0,521
3,0,0,0,0,519
4,0,0,0,0,518
5,0,0,0,0,519
6,0,0,0,0,519
7,0,0,0,0,519
8,0,0,0,0,521
9,0,0,0,0,519
10,0,0,0,0,520
11,0,0,0,0,516
12,0,0,0,0,514
13,0,0,0,0,511
14,0,0,0,0,512
15,0,0,0,0,514
0,0,0,0,0,515
1,0,0,0,0,513
2,0,0,0,0,514
3,0,0,0,0,514
4,0,0,0,0,515
5,0,0,0,0,512
6,0,0,0,0,514
7,0,0,0,0,512
8,0,0,0,0,511
9,0,0,0,0,512
10,0,0,0,0,513
11,0,0,0,0,511
12,0,0,0,0,512
13,0,0,0,0,513
14,0,0,0,0,512
15,0,0,0,0,511
0,0,0,0,0,510
1,0,0,0,0,509
2,0,0,0,0,510
3,0,0,0,0,509
4,0,0,0,0,511
5,0,0,0,0,513
6,0,0,0,0,512
7,0,0,0,0,512
8,0,0,0,0,514
9,0,0,0,0,511
10,0,0,0,0,513
11,0,0,0,0,513
12,0,0,0,0,513
13,0,0,0,0,507
14,0,0,0,0,507
15,0,0,0,0,514
0,0,0,0,0,516
1,0,0,0,0,515
